abstract-quality;['व्यक्तित्व', 'व्यक्तित्त्व'];व्यवहार के समस्त गुणों का नाम ही व्यक्तित्व है-वुडवर्ड
abstract-region;['सदिश गुणनफल', 'अन्योन्य गुण्न्', 'उत्पाद पार', 'पार उत्पाद', 'वेक्टर उत्पाद', 'वेक्टर उत्पाद है', 'वेक्टर पार उत्पाद'];दो वैक्ट्रर पर गणितीय स्ंचालन्
activity;['एक्युप्रेशर', 'shiatsu', 'accupressure', 'g-jo', 'एक्यूप्रेशर', 'सुईदाब'];एक्युपंक्चर के समान वैकल्पिक चिकित्सा तकनीक
activity;['बाढ़ नियंत्रण', 'flood', 'बाढ़ - नियंत्रण', 'बाढ़ की रोकथाम', 'बाढ़ बचाव', 'बाढ़ सुरक्षा'];Demerit of floods
activity;['गो', 'जाने का खेल'];२ खिलाड़ियों के बीच बोर्ड पे खेला जाने वाला रणनीतिक खेल
activity;['मेक्सिकी क्रान्ति', 'मैक्सिकन क्रांति'];१९१० से १९२० के बीच मेक्सीको मे हुई मुख्य हिम्स सन्घर्ष
activity;['लघु फ़िल्म', 'कम विषय', 'लघु फिल्म', 'एनिमेटेड शॉर्ट्स', 'कम फिल्म', 'कम विषयों', 'दो reeler', 'लघु फिल्मों'];एक घंटे से कम अवधि का फ़िल्म
activity;['चुंबन', 'चुम्बन', 'चुंबन करना', 'चुम्बन करना', 'buss'];किसी अन्य व्यक्ति या वस्तू को होठों के स्पर्श करने अथवा लगाने की क्रिया
activity;['मतदान', 'निर्वाचन', 'वोट', 'मत', 'मतपत्र', 'तितली मतपत्र', 'मतदाताओं'];निर्णय लेने या अपने विचार प्रकट करने की एक विधि
activity;['भूख हड़ताल'];भूख हड़ताल एक अहिंसक प्रतिरोध या दबाव की एक विधि है
activity;['फुटबॉल', 'फ़ुटबॉल', 'फुटबाल', 'एसोसिएशन फुटबॉल', 'अतिरिक्त समय के बाद', 'ठहराव समय', 'फुटबॉल टीम', 'संघ फुटबॉलर'];खेल है जिसमें दो टीमों (आमतौर पर 11 खिलाड़ी) एक गेंद को एक बचाव लक्ष्य में किक करने के लिए प्रतिस्पर्धा करते हैं
activity;['फ़िल्म', 'चलचित्र', 'फिल्म', 'चलचित्रों', 'मोशन पिक्चर कैमरा', 'सिनॆमा', 'सिनेमा', 'हो सकता है', 'फिल्मों', 'गति - चित्र शो', 'गति चित्रों', 'गति तस्वीर', 'चलती तस्वीर दिखाने', 'चित्रों की नुमाइश', 'तस्वीर चलती', 'नाटकीय फिल्म', 'प्रमुख चलचित्र', 'बड़ी फिल्म है', 'बड़े परदे', 'मोशन पिक्चर'];तथ्यात्मक फिल्मो का प्रयोग
activity;['फ़िल्म', 'चलचित्र', 'फिल्म', 'चलचित्रों', 'मोशन पिक्चर कैमरा', 'सिनॆमा', 'सिनेमा', 'हो सकता है', 'फिल्मों', 'गति - चित्र शो', 'गति चित्रों', 'गति तस्वीर', 'चलती तस्वीर दिखाने', 'चित्रों की नुमाइश', 'तस्वीर चलती', 'नाटकीय फिल्म', 'प्रमुख चलचित्र', 'बड़ी फिल्म है', 'बड़े परदे', 'मोशन पिक्चर'];ओलिम्पस हेज फाॅलेन
activity;['शतरंज', 'चैस', 'चतरङ्ग', 'चतुरंग', 'चतुरङ्ग', 'चेस', 'बुद्धिद्यूत', 'शतरञ्ज', 'सँतरँज', 'सतरंज', 'सतरञ्ज', 'अंतर्राष्ट्रीय खेल', '\u200c\u200cवज़ीर', 'शतरंज के खेल'];दो खिलाड़ियों का खेल
activity;['गोल्फ', 'गोल्फ़', 'गॉल्फ़', 'गोल्फ खेल', 'गोल्फ टूर्नामेंट'];यह एक खेल है
activity;['क्रिकेट', 'cricket', 'क्रीज', 'क्रिकेट क्लब', 'क्रिकेट टीम', 'क्रिकेट टीम है', 'क्रिकेटरों'];क्रिकेट का खेल गेंद और बल्ले के साथ 11 खिलाड़ियों के साथ खेला जाता है
activity;['स्वचालन', 'impact of machinary on workers', 'स्वचालित मशीन', 'स्वयंचालित मशीनें', 'मशीनीकरण', 'स्वचालित', 'औद्योगिक स्वचालन', 'कारखाना स्वचालन', 'यंत्रीकृत'];Mechanisation
