activity;['go', 'baduk', 'go-spelare', 'gote', 'hane', 'sten', 'wei-chi', 'weiqi', '⚆', '⚇', '⚈', '⚉', 'go spel'];Ett brädspel som ursprungligen kom från Kina.
activity;['slåss', 'kämpa', 'strida'];Att vara inblandad i fysisk konfrontation.
activity;['kurragömma', 'kurragömme', 'pantgömme', 'bollen i burken', 'burken', 'dunken', 'dunkgömma', 'dunkgömme', 'gyminga', 'sardinkurragömma', 'dölja och gå söka', 'hide-and-söka'];En populär barnlek som går ut på att olika personer gömmer sig inom ett visst område, och att en person letar efter dem.
activity;['omröstning', 'röst', 'valsedel', 'votering', 'val', 'röstning', 'valsedlar', 'valdeltagande', 'förhandlingsomröstning', 'fjäril omröstning', 'valsedeln', 'väljare'];En beslutsför persons bindande förklaring, inom en beslutsfattande process, om vilket eller vilka av ett antal förutbestämda alternativ som denne föredrar.
activity;['fotboll', 'fotbollslag', 'association football', 'fakta om fotbollen', 'fopoll', 'fotbollsarena', 'fotbollsförening', 'fotbollsklubb', 'fotbollsledare', 'fotbollsmatch', 'fotbollspelare', 'fotbollsspelare', '⚽', 'association fotboll', 'efter förlängning', 'förening fotbollsspelare', 'stopptid', 'övertid'];En bollsport i vilken två lag med 11 spelare vardera försöker att med hjälp av fötterna placera en boll i det motsatta målet.
activity;['tal', 'anförande'];En presentation eller form av oral kommunikation i vilken talaren gör sina tankar och känslor kända för en publik, ofta för ett specifikt syfte.
activity;['schack', 'schackparti', 'schacket', 'shackdrag', 'schackspel'];En omgång schackspel.
activity;['brädspel', 'brädspelet', 'krigsspel', 'spelplan', 'video brädspel'];Ett spel som spelas på ett speciellt utformat bräde.
activity;['målarborste', 'målarpensel', 'pensel'];Ett redskap med ett handtag och ett huvud med ett flertal mer eller mindre böjbara strån som används för att måla.
activity;['bevisa', 'visa', 'demonstrera', 'fastställa'];Att visa att någonting är sant.
activity;['prov', 'tenta', 'diagnostiskt prov', 'examen', 'bruksprov', 'lämplighetsprov', 'tentor', 'test', 'undersökningar'];En serie frågor (utvalda av läraren eller professorn) ställda med avsikt att mäta hur mycket eleverna eller studenterna har lärt sig under en given utbildningsperiod, termin eller läsår.
activity;['statskupp', 'kupp', "coup d'état", 'militärkupp', 'militärrevolt', 'statskuppen', 'statsstreck', "kupp-d'etat", 'kupper', 'militär statskupp', 'militär statskupp hade', 'palats kupp', 'statskupper'];Ett plötsligt omkullkastande av en regering.
activity;['utredning'];Systematisk undersökning av något av allmänt intresse.
activity;['hälsokontroll', 'läkarundersökning', 'medicinsk undersökning', 'sjukvård', 'check-up', 'kroppslig undersökning', 'kroppsundersökning', 'fysisk undersökning', 'checkup', 'klinisk undersökning', 'medicinsk', 'medicinsk kontroll', 'medicinska'];En medicinsk kontroll utförd av en läkare. vanligtvis utförd regelbundet på till synes friska individer i syfte att upptäcka sjukdomar och krämpor.
activity;['fara', 'risk'];En situation som innebär omedelbar risk för skada på person eller egendom.
activity;['underjordiska järnvägen', 'tunnelbana', 't-bana', 'underground railroad', 'den underjordiska järnvägen'];En elektrifierad järnväg för passagerartrafik som körs i tunnlar under marken.
activity;['utbildning', 'didaktik', 'undervisning', 'bildning', 'upplärande', 'utbildningssystem', 'instruktion', 'skolväsen', 'bildningsideal', 'metalärande', 'obildad', 'utbildad', 'utbildare', 'utbildningsverksamhet', 'pedagog', 'utbilda', 'utbildningssystemet', 'lärare', 'pedagogisk verksamhet', 'utbildade'];Konsten eller vetenskapen om undervisning.
