activity;['rigbi'];Rigbi se espò, a se yon stil nan foutbòl rele aprè lekòl Rugby nan Wayòm Ini an.
activity;['bo'];Bo se rankont de bouch ki kole avèk yon lòt.
activity;['documentaries'];Documentaries se yon aktè.
activity;['foutbòl', 'foutbalè'];Foutbòl se yon espò.
activity;['sinema'];Sinema se yon la ki gen rapò ak espektak.
activity;['echèk'];Echèk se yon jwèt.
activity;['baskètbòl'];Baskètbòl se yon espò.
activity;['badmintonn', 'bádminton'];Badmintonn se yon espò.
activity;['gòf', 'gòlf'];Gòlf se yon espò.
activity;['bèzbòl'];Bèzbòl se yon espò.
activity;['tenis'];Tenis se yon espò.
activity;['pingpong'];Pingpong se yon espò.
activity;['plonjon'];Plonjon se yon espò.
activity;['djèt estrim'];Djèt estrim se yon van lwès fèb ki gen wot altitid ki soufle anwo gwo kontras tanperati epi ki sikile a 185 kilomèt pa èdtan.
activity;['aïkido'];Aïkido se yon espò.
activity;['mas lè'];Mas lè se gwo etandi lè ki gen menm karakteristik tanperati ak tout sa ki nan imidite kòm pati sifas latè kote li fòme a.
activity;['titraj'];Titraj se yon pwosesis ki pèmèt itilizasyon reyaksyon netralizasyon asid-baz pou detèmine konsantrasyon solisyon konsantrasyon enkoni.
activity;['konsè'];Konsè, Yon represantasyon mizikal ki kapab genyen youn oubyen plizyè pèfòmè, atis.
activity;['jido'];Jido se yon espò.
activity;['jimnastik'];Jimnastik se yon espò.
activity;['anpite', 'anpitasyon', 'anpute'];Anpite se koupe yon men oubyen yon janm.
activity;['hurling'];Hurling se yon espò nan peyi Ilann.
activity;['dezyèm gè mondyal', 'world war ii'];Dezyèm Gè mondyal se yon lagè ant : Almay, Itali, Japon, kont Etazini, Wayòm Ini, Frans, Inyon Sovyetik, ...Gè la te fini an 1945 avèk laviktwa pou Etazini ak alye yo.
activity;['premyè gè mondyal'];Premyè Gè mondyal se yon konfli militè ki enplike nan yon premye tan puisans ewopeyèn ak lè sa a, ki pwolonje nan plizyè kontinan, ki te pran plas ant 1914 ak 1918, byenke li te kontinye diplomatikman jiska 1923 pou peyi ki konsène pa trete Lausanne, dènye akò entènasyonal ki dwe siyen sou 24 jiyè 1923.
activity;['edikasyon timoun', 'edikasyon', 'éducasyon'];Edikasyon timoun ap montre kouman lòm ap vini lòm, kouman lòm ap viv evè dot lom.
activity;['vyolans'];Vyolans se itilizasyon gwo fòs kont lòt moun yo.
activity;['espò'];Espò se yon gwoup egzèsis fizik de fòm d jwèt endividyèl osinon kolektif kapab done kote a konkou-yo.
activity;['divètisman'];Divètisman se aktivite imen pou plezi.
activity;['goumen'];Fè batay, lite, bay kou, frape.
activity;['profesyon', 'pwofesyon'];Profesyon se yon travay moun respekte.
activity;['biya'];Biya se yon espò.
activity;['domino'];Domino, Yon jwèt ki gen 28 ti moso rektang nan li.
activity;['kwazad'];Kwazad yo se te yon seri de lagè relijye sanksyone pa Legliz Katolik la nan peryòd medyeval la.
activity;['bolin'];Bolin se yon espò.
activity;['altewofili'];Altewofili se yon espò.
activity;['bòks', 'boksè'];Bòks se yon espò.
activity;['karantèn'];Karantèn konsiste de izole moun, bèt, oswa plant pou yon sèten peryòd tan, lè maladi kontajye sispekte, pou anpeche pwopagasyon maladi sa yo.
activity;['emigrasyon'];Emigrasyon se yon mouvman moun nan yon popilasyon.
activity;['reyon x', 'reyon iks'];Reyon X se yon fòm radyasyon elektwomayetik envazif ki gen anpil enèji epi ki emèt nan kèk sibstans ki nan yon eta elektwon eksite.
activity;['taksinomi'];Taksinomi se yon branch byoloji ki gwoupe ak lonmen òganis yo selon etid karakteristik komen yo. byolojis ki etidye taksinomi rele taksninomis.
activity;['lanèj', 'nèj', 'nej'];Lanèj se dlo glase ki tonbe nan livè.
activity;['patinay'];Patinay se yon espò.
activity;['alize'];Alize se yon sistèm global van ki soufle a 30° latitid nò ak sid, kote lè a bese, chofe epi retounen nan ekwatè a nan direksyon lwès.
activity;['polinizasyon'];Polinizasyon se yon se transfè polèn ant ògàn repwodiktè mal ak ògàn repwodiktè femèl plant yo, anjeneral menm espès la.
activity;['rechèch'];Rechèch, chache konnen yon bagay nan mitan bagay ki egziste . tankou chache enfòmasyon istorik nan anpil liv nan bibliyotèk.
activity;['vaksinasyon', 'vaksinasyon.'];Yon vaksen se yon tretman ki fè kò a pi fò kont enfeksyon.
activity;['achte'];Achte, Ale kote moun vann machandiz, pran yon bagay epi peye pou li.
activity;['eksperyans'];Eksperyans se yon seri obsèvasyon kontwole ki teste ipotèz la.
activity;['so an longè'];So an longè se yon espò.
activity;['chantè'];chantè, Sanba.
activity;['fotografi'];Fotografi se yon teknik pou fikse yon imaj sou yon sifas sansib avèk limyè ak obje yo reflete pa limyè sa a.
activity;['mezi', 'mezu'];Mezi se yon konparezon ant yon kantite enkoni ak yon kantite estanda.
activity;['kominikasyon'];Kominikasyon se teknik lòm devlope pou li pale, travay, fè tout bagay li, pou li kapab viv ak lòt moun yo.
activity;['biznis', 'antrepriz'];Biznis, Vann machandis, sèvis pwofesyonèl.
activity;['biznis', 'antrepriz'];sosyete antrepriz la moun ka travay.
activity;['teyat', 'teat'];Teyat se alafwa la nan reprezante yon dram oswa yon komedi.
activity;['teyat', 'teat'];Yo rele teat reprezantasyon yon dram, yon mòd literè, yo kote moun al gade yon pyès teat.
activity;['touris'];Touris se vwayaje pou plezi deyò kote abityèl yo nan lavi, ak abite pou yon ti tan, men tou yon sektè ekonomik ki gen ladan nan adisyon nan biznis la otèl tout aktivite ki gen rapò ak satisfaksyon an ak vwayaj la nan touris.
activity;['la'];La se yon aktivite moun fè. se sa yon moun pwodui daprè sans li, sa li santi, ak sa li panse.
activity;['jadinay'];Jadinaj se yon aktivite pou plante manje ak danre.
activity;['vann'];Vann se bay machandiz kont lajan.
activity;['divòs', 'divos', 'divwòs'];Divòs se terminasyon yon maryaj.
activity;['travay'];Travay se bagay yon moun fè ki itil nenpòt sosyete sou tè a.
activity;['te'];Te, Fèy bouyi nan dlo epi ki sikre ou byen sele pou moun bwè.
activity;['edikasyon timoun', 'edikasyon', 'éducasyon'];Edikasyon timoun ap montre kouman lòm ap vini lòm, kouman lòm ap viv evè dot lom.
activity;['lachas'];Lachas se yon aktivite lè moun chase zannimo.
activity;['revolisyon franse'];Revolisyon franse a se yon peryòd nan istwa Lafrans ant ouvèti Eta Jeneral la sou 5 me 1789, ak koudeta a nan 18 Brumèr nan Napoléon Bonaparte, 9 novanm 1799.
activity;['revolisyon ameriken'];Revolisyon ameriken an se te yon revolisyon kolonyal ki te pran plas ant 1765 ak 1783.
activity;['komès an detay', 'magazen'];Komès an detay se pwosesis pou vann machandiz konsomatè yo oswa sèvis pou achtè atravè divès chèn distribisyon pou resevwa yon pwofi.
activity;['devwa'];Devwa, Responsablite ki tonbe sou do yon moun san pa gen yon fòs ki ap pouse li akonpli tach la, men si li pa akonpli tach la kapab gen pinisyon pou sa.
activity;['lit'];Lit se yon espò.
activity;['chimyoterapi'];Chimyoterapi se itilizasyon pwodui chimik pou detwi selil kansè yo.
activity;['espektwomèt mas'];Espektwomèt mas se yon aparèy ki itilize chan elektrik ak chan mayetik pou mezire mas atòm ak molekil iyonize epi ki ka detèmine rapò yon iyon ant chaj ak mas la.
activity;['lagè'];Lagè, Yon moman lè de gwoup politik, de gwoup militè ap goumen.
activity;['lapli'];Lapli, Yon kantite gout dlo ki soti nan espas e ki tonbe nenpòt kote sou fas tè a.
agentive-figure;['antigòn', 'antigoné'];Nan mitoloji grèk, Antigòn se pitit fi Edipus ak Jocasta manman l '.
agentive-figure;['labank'];Labank se enstitisyon ki rasanble lajan e bay anpren.
agentive-figure;['eta', 'nasyon'];Eta, Yon peyi endepan ki gen yon gouvènman avèk chèf tankou yon prezidan ap dirije li.
agentive-figure;['ransèyman', 'ranseyman'];Ransèyman se aksyon pou dekouvri sekrè yo lenmi nan.
agentive-figure;['unicef', "united nations international children's emergency fund"];UNICEF se yon sineyas.
agentive-figure;['inesko'];INESKO se yon òganizasyon Nasyonzini pou Edikasyon, Syans ak Kilti.
agentive-figure;['òganizasyon eta ameriken', 'oea'];Òganizasyon Eta Ameriken yo oubyen OEA se yon òganizasyon ak biwo santral nan Wachintòn, ki te kòmanse 30 avril 1948 la.
agentive-figure;['inyon ewopeyèn', '🇪🇺', 'ie'];Inyon ewopeyèn se yon òganizasyon entènasyonal ki sipranasyonal ak entegouvènemantal, ki te etabli ak 12 peyi nan trete Mastrich an 1993.
agentive-figure;['òganizasyon nan petwòl peyi leksportasyon', 'opec'];An Òganizasyon nan Petwòl Peyi Leksportasyon se yon òganizasyon entègouvènmantal, ak katye jeneral nan Vyèn.
agentive-figure;['oni', 'organisation des nations unies'];ONI se òganizasyon Nasyonzini.
agentive-figure;['lame'];Lame se fòs militè yon peyi a.
agentive-figure;['pati politik', 'pati'];Yon pati politik se yon asosyasyon moun ki deside regwoupe tèt yo ansanm nan objektif pou yo mennen e patisipe nan aktivite politik peyi kote ke yo ap viv la.
