agentive-physical-object;['cây', 'cây thân gỗ', 'cây gỗ', 'cây xanh', 'cây non'];Cá thể thực vật, thường có thân, lá, cành.
course;['sự khởi đầu', 'đầu'];Sự bắt đầu của một hoạt động.
language;['tiếng trung quốc', 'tiếng hoa', 'tiếng hán', 'tiếng trung', 'chinese language', 'hoa ngữ', 'hán ngữ', 'tiếng trung hoa', 'tiếng tàu', 'ngôn ngữ trung quốc', 'trung quốc'];Một ngôn ngữ thuộc hệ ngôn ngữ Hán-Tạng, được sử dụng chính thức tại Trung Quốc, Đài Loan, Singapore và được sử dụng tại nhiều nơi khác.
language;['tiếng hàn quốc', 'tiếng triều tiên', 'tiếng hàn', 'tiếng đại hàn', 'hàn ngữ', 'korean language', 'ngôn ngữ triều tiên', 'triều tiên ngữ', 'hàn quốc', 'ngôn ngữ hàn quốc'];Ngôn ngữ được nói phần lớn tại (Bắc) Triều Tiên và (Nam) Hàn Quốc.
language;['tiếng việt', 'việt ngữ', 'tiếng việt nam', 'tiếng an nam', 'tiếng kinh', 'tiếng việt-nam', 'tiếng việt hiện đại', 'việt văn', 'trường sơn', 'ngôn ngữ việt nam'];Ngôn ngữ thuộc hệ ngôn ngữ Nam Á được nói phần lớn tại Việt Nam.
physical-object;['ký túc xá', 'kí túc xá', 'cư trú hội trường', 'cư trú sinh viên', 'dorter', 'nhà ở sinh viên', 'sinh viên cư trú'];Tòa nhà chứa phòng ngủ, thường cho sinh viên đại học.
physical-object;['giũa', 'tập tin'];Dụng cụ cầm tay để tạo hình cho vật thể bằng cách mài mòn chúng.
political-geographic-object;['california', 'ca li', 'ca-li-pho-ni-a', 'ca-li-phoóc-ni-a', 'ca-li', 'califonia', 'tiểu bang california', 'us-ca', 'calif.', 'golden state'];Tiểu bang Hoa Kỳ thứ 31, nằm ở miền tây.
political-geographic-object;['roma', 'la mã', 'rôma', 'kinh đô thế giới', 'thành phố bảy ngọn đồi', 'thành phố vĩnh hằng', 'thành phố đài phun nước', 'la-mã', 'rome', 'rô-ma', 'eternal thành phố', 'thủ đô của ý', 'ý vốn'];Thủ đô nước Ý.
situation;['sự khởi đầu', 'đầu'];Sự bắt đầu của một hoạt động.
situation;['sự khởi đầu', 'đầu'];Sự bắt đầu của một hoạt động.
subject;['ngôn ngữ học', 'giao tiếp ngôn ngữ', 'ngữ lý học', 'ngôn ngữ', 'giao tiếp bằng lời nói', 'nhà ngôn ngữ học'];Môn khoa học về ngôn ngữ của con người.
