activity;['طب تقويمي', 'استيوباثي'];الطب التقويمي أو الاستيوباثي (بالإنجليزية: Osteopathy) هو فرع من مهنة الطب. و كلمة الاستيوباثي مشتقه من الكلمتين اليونانيين "أستيو" ὀστέον بمعني عظام و "باثي" -πάθεια بمعنى مرض.
agentive-physical-object;['رئيسيات'];رتبة من الثدييات
agentive-physical-object;['مكورات'];أحد أشكال البكتيريا
agentive-physical-object;['طريشه', 'الطريشه'];نوع من الحيات
functional-matter;['السائل المنوى', 'لبن\u200e', 'مني\u200e', 'السائل المنوي'];السائل المنوى
information-object;['بكالوريوس هندسة', 'بكالوريوس الهندسة'];شهادة جامعية
information-realization;['كانترى'];نوع موسيقى
language;['إسبيرانتو', 'اسپرانتو', 'esperanto', 'إسبرانتو', 'إسپيرانتو', 'اسبرانتو', 'اسبيرانتو', 'لغه إسپيرانتو'];لغة مصنوعة
locative-role;['خطوط مونتينيجرو الجويه', 'montenegro airlines'];شركة طيران
parameter;['داء المشوكات'];مرض
physical-body;['كويكب'];جرم سماوى
physical-body;['الارض', 'الأرض\u200e', 'أرض', 'ارض', 'الأرض'];تالت كوكب في المجموعة الشمسية من ناحية الشمس
physical-object;['حانه'];مكان لبيع وشرب المشروبات الكحوليه
physical-object;['آلة الأورغان'];آلة موسيقية
physical-object;['سجن', 'السجن'];اوروبا
physical-object;['كوبرى كوينزبورو'];كوبرى فى امريكا
physical-object;['كوبرى كيبيك'];كوبرى فى كندا
physical-object;['كوبرى نيو ريفر جورج', 'new river gorge bridge'];كوبرى فى امريكا
physical-object;['كوبرى بايون'];كوبرى فى امريكا
physical-object;['كوبرى ماكيناك'];كوبرى فى امريكا
physical-object;['كوبرى برونكس وايتستون'];كوبرى فى امريكا
physical-object;['كوبرى بيير لابورت'];كوبرى فى كندا
physical-object;['كوبرى هامبر'];كوبرى فى المملكه المتحده
political-geographic-object;['الرياض'];الرياض الدمام
political-geographic-object;['انقره', 'أنقرة\u200e', 'ankara', 'انكارا', 'انقرة'];عاصمه تركيا
quality;['بكالوريوس هندسة', 'بكالوريوس الهندسة'];شهادة جامعية
quality;['العدل'];فضيله
situation;['بكالوريوس هندسة', 'بكالوريوس الهندسة'];شهادة جامعية
situation;['طاعون'];نوع من الامراض القاتلة المعدية
situation;['هربس'];مرض
situation;['حمى الضنك'];مرض
situation;['داء عليقى'];مرض
situation;['وباء تعرق'];وباء
socially-constructed-person;['مهاتما جاندى', 'جاندى', 'غاندى', 'غاندي', 'مهاتما جاندي', 'مهاتما غاندى'];الزعيم السياسي والديني الهندي
socially-constructed-person;['كاساندرا'];شخصية أسطورية إغريقية
socially-constructed-person;['بانثالاسا'];المحيط ما قبل التاريخ
socially-constructed-person;['واليس سمبسون', 'wallis simpson'];زوجة الملك إدوارد الثامن ملك المملكة المتحدة
socially-constructed-person;['توماس إديسون', 'توماس أديسون'];رجل اعمال ومخترع امريكانى
socially-constructed-person;['بروفسور'];استاذ
spatial-feature;['ايفيريست', 'إڤريست\u200e', 'إفرست', 'إفيريست', 'افيريست'];أعلى جبل في العالم ، جزء من سلسلة الهيمالايا وموجود بين نيبال والصين
taxonomic-collective;['تصنيفه'];مجموعه واحده او اكتر ليهم تصنيف واحد لكن ليهم خصايص مختلفه
taxonomic-collective;['charales'];تصنيف بتاع ويكيميديا
temporal-region;['1 يوليه'];تاريخ
temporal-region;['1 يناير', 'january 1'];تاريخ
temporal-region;['2 فبراير'];تاريخ
temporal-region;['1 نوفمبر'];تاريخ
temporal-region;['25 ديسمبر', 'عيد الميلاد', 'كريسماس'];تاريخ
temporal-region;['19 مارس'];تاريخ
temporal-region;['14 ابريل'];تاريخ
temporal-region;['24 اكتوبر'];تاريخ
temporal-region;['12 اكتوبر', '12 أكتوبر'];تاريخ
temporal-region;['4 يوليه'];تاريخ
temporal-region;['24 مايو'];تاريخ
temporal-region;['17 سبتمبر'];تاريخ
temporal-region;['1 اغسطس'];تاريخ
temporal-region;['14 يونيه', 'عيد العلم'];تاريخ
temporal-region;['29 يونيه'];تاريخ
temporal-region;['29 سبتمبر'];تاريخ
temporal-region;['21 يونيه', '21 يونيو'];تاريخ
temporal-region;['1 مايو'];تاريخ
temporal-region;['2 مارس'];تاريخ
temporal-region;['29 فبراير'];تاريخ
temporal-region;['23 يونيه', '23 يونيو'];تاريخ
temporal-region;['6 يناير', 'عيد الغطاس'];تاريخ
