abstract-region;['बहुपदी'];बहुपदी
activity;['निसर्गोपचार'];चिकित्सेची शाखा
activity;['ब्लिट्झक्रीग'];एक आक्रमक युद्धव्यूह
activity;['निवडणूक', 'निवडणुक'];निष्कर्ष
activity;['उपवास', 'उपास'];हिंदू धर्मातील व्रत
activity;['शिक्षण', 'पदव्युत्तर अभ्यासक्रम'];ज्ञान मिळवण्याची प्रक्रिया
activity;['हिंसा', 'voilence'];Hinsachar manuskila laglela kalank
activity;['व्यवसाय'];विशेष शैक्षणिक प्रशिक्षण
activity;['लिंगभेद'];व्यक्तीच्या लींगावरून भेदभाव किंवा पूर्वग्रह
activity;['हॉकी', 'आइस हॉकी', 'डिफेंडर, हॉकी', 'फिल्ड हॉकी', 'रक्षक'];Hocky
activity;['क्वॉरंटीन', 'कोरांटीन'];लोक आणि वस्तूंच्या हालचालींवर निर्बंध आणण्यासाठी साथीच्या रोगाचा हस्तक्षेप, ज्याचा हेतू संसर्गजन्य रोग किंवा कीटकांचा प्रसार रोखण्यासाठी आहे.
activity;['कुटुंबनियोजन', 'संततिनियमन', 'संततिनिमन', 'कुटूंबनियोजन', 'परिवारनियोजन', 'संतती नियमन', 'संततीनियमन'];मुले कधी असणार यासंबंधीचे नियोजन आणि अशा योजना अंमलात आणण्यासाठी जन्म नियंत्रण व इतर तंत्राचा वापर
activity;['उलटी', 'अन्न उलटणे', 'ओकारी', 'गाडी लागणे', 'वमन', 'वांती'];तोंडावाटे आणि कधी कधी नाकातूनही पोटातील अन्नाचे बाहेर पडणे, ही नियंत्रण नसलेली क्रिया आहे
activity;['नाणकशास्त्र', 'नाणीसंग्रह', 'नाणेशास्त्र'];चलन, नाणी व कागदी पैशांचा अभ्यास
activity;['शिक्षण', 'पदव्युत्तर अभ्यासक्रम'];ज्ञान मिळवण्याची प्रक्रिया
agentive-figure;['इस्कॉन', 'आंतरराष्ट्रीय कृष्णभावनामृत संघ', 'हरेकृष्ण संप्रदाय'];धार्मिक संघटना
agentive-figure;['सेंट्रल इंटेलिजन्स एजन्सी', 'सी. आय. ए.', 'सी.आय.ए', 'सी.आय.ए.', 'सेन्ट्रल इंटेलिजन्स एजन्सी', 'सीआयए'];अमेरिकेन राष्ट्रीय गुप्तचर संस्था
agentive-figure;['शैक्षणिक संस्था'];शिक्षण देणारी संस्था
agentive-figure;['पोलीस', 'पोलिस'];महाराष्ट्र
agentive-physical-object;['संगणक विज्ञान', 'संगणक', 'कंप्यूटर', 'काँप्युटर', 'कॉम्प्युटर', 'संगणकविज्ञान', 'संगणकशास्त्र'];अंकगणित किंवा कायदेशीर कारवाई करण्यासाठी सोपे साधन
agentive-physical-object;['लिंबू', 'निंबु', 'लिंबु'];एका प्रकार चे फळ
agentive-physical-object;['कांटेधोत्रा'];एक औषधी वनस्पती
agentive-physical-object;['मानव', 'homo sapiens', 'माणूस'];होमो-सैपीयंज़ स्तनपायी जो दोन पायांवर चालतो.
agentive-physical-object;['अंबुटी', 'चांगेरी'];झुडुपाची जात
agentive-physical-object;['फालसा'];वनस्पती प्रजाती
agentive-physical-object;['रतनगुंज', 'रक्तचंदन', 'थोरला गुंज'];झाडांच्या जाती
agentive-physical-object;['मूग', 'मुग', 'मूग डाळ'];कडधान्य
agentive-physical-object;['गोगलगाय'];मृदुकाय आणि उदरपाद वर्गात येणारा प्राणी
agentive-physical-object;['इमू', 'एमू पालन'];पाळीव पक्षी
agentive-physical-object;['पर्जन्यवृक्ष', 'रेन ट्री', 'रेनट्री'];कीतकाचे व रोग यांच्यात बदल
agentive-physical-object;['अंजीर', 'फायकस कॅरिका'];झुडुपाची एक प्रजाती
agentive-physical-object;['मोर', 'भारतीय मोर'];भारताचं वैभव असलेला सर्वांग सुंदर असा मोर
agentive-physical-object;['शेल्टी', 'शेटलँड कॉली', 'शेटलँड शीपडॉग'];कुत्र्याची जात
agentive-physical-object;['बदक'];ॲनॅटिडी पक्षी कुटुंबातील बर्याच जातींसाठी सामान्य नाव
agentive-physical-object;['मधमाशी', 'apis mellifera'];एक उडणारा व डसणारा किडा
agentive-physical-object;['शेकाटया', 'himantopus himantopus', 'शेकाटा'];पक्षी प्रजाती
agentive-physical-object;['ऊस', 'उस'];एक तृणवर्गीय वनस्पती
agentive-physical-object;['गांडूळ'];वलयांकीत, लांब शरीर असणारा, सरपटणारा प्राणी
agentive-physical-object;['रक्तचंदन', 'pterocarpus santalinus'];एक आयुर्वेदीक औषधी वनस्पती आहे
agentive-physical-object;['गणेशवेल'];फुलाचे नाव
agentive-physical-object;['शिंपी', 'orthotomus', 'लिचकूर', 'शिंपी पक्षी'];पक्षी प्रजाती
agentive-physical-object;['डुकरकंद', 'dioscorea bulbifera'];वनस्पतीची जात
amount-of-matter;['पाणी', 'जल', 'h₂o'];निरीक्षण
amount-of-matter;['तांबे', 'cu', 'कॉपर'];एक विद्युतसुवाहक धातू
amount-of-matter;['शेंगदाणा तेल'];शेंगदाण्यापासून काढलेले तेल
biological-object;['स्तन', 'उरोज, थान', 'वक्ष'];सस्तन प्राण्याच्या शरीरावर पुढील बाजूसअसलेला, दूध स्रवणारी ग्रंथी म्हणून विकसित झालेला अवयव
biological-object;['हृदय'];हृदयाची रचना
biological-object;['फळ', 'फळे'];फुलांच्या रोपाचा एक भाग
classification-system;['हिंदू दिनदर्शिका', 'मास'];हिंदू कालमापन
cognitive-modal-description;['समाजवाद', 'समाजवादी', 'समाजवादी अर्थव्यवस्था'];अशी सरकारी तत्वप्रणाली ज्यामध्ये उत्पादन साधने ही सामाजिक मालकीची असतात
course;['मासिक पाळी', 'पाळी', 'मासिकपाळी', 'रजस्राव'];दर महिन्याला स्रियांना योनीमार्गातून होणारा नैसर्गिक रक्तस्राव
ecological-collective;['जग', 'विश्व', 'संसार'];पॄथ्वी ग्रहावरील सर्व जीवसॄष्टी आणि सर्व भौगोलिक अस्तित्व
event;['भूस्खलन', 'जमीनीची घसरण'];Natural cracks and fissures present in hard rocks cause their breaking. Especially,at the time of heavy rains, water entering these cracks causes weathering of these rocks.weight increases. This is called collapse of rift means landslides.
event;['भीष्म आग'];महान आणि विनाशकारी आग
functional-matter;['सुशी', 'sushi', 'सुशी खाद्यपदार्थ', 'सुशी जपानी खाद्यपदार्थ'];खाद्यपदार्थ
functional-matter;['सिमेंट', 'सीमेंट'];सिमेंट हे वाळू व रेतीला मजबूत करते
functional-matter;['दही'];आंबवून घट्ट केलेल्या दुधाला दही असे म्हणतात
functional-matter;['तांबे', 'cu', 'कॉपर'];एक विद्युतसुवाहक धातू
functional-matter;['अँथ्रेसाइट', 'अँथ्रासाईट', 'अँथ्रेसाईट', 'अँन्थ्रासाईट', 'दगडी कोळसा'];कठोर व धातूची चमक असणारा कोळसा
functional-matter;['सॉर्बे'];सॉर्बे म्हणजे काचेच्या किंवा चिनी मातीच्या वाडग्यामध्ये वाढलेला सुगंधी बर्फाचा गोळा
