abstract-region;['операнд', 'operand'];Операнд — ик вашталтылше але тутыш, тудын шотышто оператор ыштыкым шукта.
activity;['электрон почто', 'e-mail', 'э-почто'];Электрон почто — пайдаланыше-влаклан увертышым але документым печатлен лукде вашталтылаш йӧным ыштыше вот службо.
activity;['футбол', 'футболист'];Футбо́л — команде дене таҥасыме спорт тӱрлык.
activity;['крокет', 'cróquet'];Кроке́т — спорт модмаш.
activity;['вӱд поло'];Вӱд по́ло — команде дене таҥасыме спорт тӱрлык.
activity;['баскетбол'];== Модмаш нерген ==
activity;['шайбан хоккей'];Шайба́н хокке́й — ий валне эртыше спорт модмаш, хоккей радамыш пурышо спорт тӱрлык.
activity;['бейсбол'];== Модмаш нерген ==
activity;['кучедалмаш', 'вурсо', 'кредалмаш', 'сӧй'];Кучедалмаш — бой, сӧй, сарлыме, вурсо, кредалмаш.
activity;['мӱзикыл'];Мӱзикыл – сценыште шындыме музык произведений.
activity;['гимнастике', 'гимнастика'];Гимнастике – ик эн чӱчкыдын вашлиялтше спорт тӱрлык.
activity;['рок-н-ролл'];Рок-н-ро́лл (англичанла rock & roll але rock 'n' roll, Rock and roll — мар.
activity;['кокымшо тӱнямбал сар', 'кокымшо тӱнямбалсе сар'];Кокымшо Тӱнямбалсе Сар — тӱҥямбалне сар-конфликт, 1939 ий гыч 1945 ий марте, 62 эл-влакым сарыш шупшын.
activity;['спорт'];Спорт – мер илышын да капкультурын ужашыже, таҥасымаш да таҥасымаш-влаклан ямдылалтмаш гыч чоҥалтеш.
activity;['программлымаш'];Программлымаш — программе-влакым возымаш да лачештарымаш процесс.
activity;['шудо хоккей'];Шудо хоккей (руш.
activity;['лум'];Лум — кава гыч велыше пачката ий кристалл-влак.
activity;['шолем', 'град'];Шолем — йырйьюжын осадке. ияҥше южвӱд.
activity;['виктем йӧн'];Виктем йӧн.
activity;['инвестиций'];Инвести́ций — парышым лукташлан экономикыш кужу жаплан надырым пыштымаш.
activity;['лексикографий'];Лексикографий — йылмышанчын ужашыже, мутерым ыштыме пашам, мутерым шымлызе шанче.
activity;['театр', 'кончер'];Театр — драматический произведений-влакым сценыште ончыктымо искусство.
activity;['сымыктыш'];Сымыктыш — процесс кунам тӱҥлык-влакым ик радамлыкыш уста ушнат, але тиде процессын лектыш.
activity;['южвӱд'];Южвӱд — йыръюж вишкыде, пеҥгыде але пар вӱд.
activity;['революций'];Революций (лат.
activity;['чай'];Чай — чай кушкылын лышташ-влакым пыштен ыштыме ароматан йӱыш.
activity;['сонар', 'охота'];Сонар — янлыкым але кайыкым кычалмаш, поктымаш да кучымаш.
activity;['сар'];Са́р — эл ден эл коклаште вооруженный кучедалмаш.
activity;['мультимедий', 'multimedia'];Мультимедий — чот, текст, графике, анимаций, видео, йӱк да т.м.
agentive-figure;['авиакомпаний'];Авиакомпаний — кÿртньыгайык дене толшо-кайышым шупшыктышо компаний.
agentive-figure;['кылгудо', 'посольство'];Кылгудо — вес кугыжанышын кумдыкыштыжо вераҥдыме иктаж могай элын дипломат шкегудыжо.
agentive-figure;['кугыжаныш', 'государство'];Кугыжаныш — мер илышын организацийже, пеҥгыдемдыме кумдыкышто шарла.
agentive-figure;['европо ушем', 'европа ушем', '🇪🇺', 'европейский союз', 'евросоюз', 'евроушем'];Европо ушем, Евроушем — Европысо 28 элын экономик да политик сынан ушемышт.
agentive-figure;['иктыш ушнышо наций-влак организаций', 'ино'];Иктыш ушнышо Наций-влак Организаций — калык кокласе организаций.
agentive-figure;['руш танле черке', 'ртч'];Руш Танле Черке - танле христиан черке Российыште, Украиныште, Белоруссийшто да Молдовышто.
agentive-figure;['индуизм'];Индуизм – Тӱняште тын.
agentive-figure;['полиций'];Полиций — южо эллаште кугыжаныш стройын безопасностьшым да еҥын праважым оролышо куралан арвыле.
agentive-figure;['совет социализм республик-влак ушем', 'совет ушем', 'советский союз', 'ссру', 'ссср'];Совет Социализм Республик-влак Ушем, тыгак Совет Ушем - 1922-1991 ий жапыште Европо да Азий континент-влаклаште верланыше кугыжаныш.
agentive-physical-object;['клиент'];Клиент — серверын суаплыкше деке шумашым йӧнештарыше, тудын деч информацийым налын шогышо але вашталтылше компьютер але программе.
agentive-physical-object;['пӱнчӧ', 'pinus', 'якте'];Пӱнчӧ (лат.
agentive-physical-object;['евразий умдыр'];Умдыр але вӱдумдыр
agentive-physical-object;['ур-влак', 'ур', 'sciuridae'];Ур-влак (лат.
agentive-physical-object;['тыглай ваштар', 'acer platanoides'];Тыглай ваштар
agentive-physical-object;['янлык'];Янлык (лат.
agentive-physical-object;['кушкыл'];Кушкыл (лат.
agentive-physical-object;['тыгыдер', 'кустарник'];Тыгыдер — кушкыл.
agentive-physical-object;['банкомат'];Банкомат — оксам пуымо-налмылан, тӱлымашым эртарымылан келаштарыме аппарат.
