abstract-region;['operando', 'operand'];Un operando es omne argumento que es le objecto de un operation mathematic.
activity;['rugby'];Rugby se refere a plure sports, affin ma distincte le un del altere: rugby a 15 o rugby union rugby a 13 o rugby leaguerugby a 9, un adaptation de rugby a 13 rugby a 7, un adaptation de rugby a 15Le cifras in le nomines de iste sports se refere al numero de jocatores per equipa, ma isto non es le differentia unic o mesmo le plus importante inter illos.
activity;['currero electronic', 'e-mail', 'currero-e', 'e-posta', 'posta electronic'];Un e-mail, e-posta o posta electronic es un methodo de excambiar messages digital ab un autor a un o plus recipientes.
activity;['guerra de troia'];Le Guerra de Troia esseva un conflicto bellic in le qual confrontava se un coalition de armeas achee contra le citate de Troia, locate in Asia Minor, e su alliates.
activity;['go'];Go es un ancian joco de tabuliero ex Asia que es jocate sur un tabuliero con 19×19 lineas per lenticular lapides de joco, nigre e blanc.
activity;['canonisation'];Canonisation significa le declaration que alcuno es un sancto.
activity;['prefixo del si', 'prefixos del si'];Le Systema International de Unitates specifica un collection de prefixos de unitates appellate prefixos del SI o prefixos metric.
activity;['backgammon'];Backgammon es un joco de tabuliero popular cuje ancestres era cognite jam durante le etate antique.
activity;['basio'];Un basio es le contacto del proprie labios con un altere persona o un objecto.
activity;['eucharistia', 'cena del senior'];Le termino eucharistia es usate pro referer se al sacramento del Cena del Senior, sancte communion o, in le catholicismo, missa.
activity;['baptistas'];Baptistas es le denominationes e theologias characterisate per le doctrina del baptismo per immersion pro credentes solmente.
activity;['battalia de thermopylae'];Le Battalia de Thermopylae era un battalia del Secunde Guerra Mede in le qual infrontava se un alliantia de citates-stato grec liderate per Sparta e le Imperio Persian de Xerxes I. == Fontes == Le fonte principal in lo relative al Guerras Mede es le historiator grec Herodoto.
activity;['carneval', 'carnaval'];Le Carneval es un periodo de festa christian occidental que precede le periodo liturgic del Quaresima.
activity;['football'];Nascite in le Regno Unite in le seculo 18, le football es un sport collective que se joca con un balla.
activity;['film', 'cinema'];Le termino es un abbreviation de "cinematographo".
activity;['hip hop'];Le Hip hop o rap es un genere del musica que originava in le communitates african-statounitese e hispanic-statounitese in Bronx, New York City, Statos Unite le annos 1970.
activity;['chacos', 'alfil'];Chacos es un multo vetere joco de strategia jocate per duo personas que ha cata uno le mesme collection de pecias de duo colores differente, normalmente un blanc e le altere nigre.
activity;['videojoco', 'joco de video', 'joco video', 'videojocos'];Un videojoco, joco video o joco de video es un joco electronic jocate sur un television o computator.
activity;['waterpolo'];Waterpolo o Polo aquatic es un sport olympic.
activity;['basketball'];Le basketball es secundo le regulas official del FIBA un sport que es jocate per 2 equipas de 5 jocatores.
activity;['badminton'];Badminton es un sport olympic.
activity;['golf'];Golf es un sport olympic.
activity;['hockey sur glacie'];Hockey sur glacie es un sport olympic.
activity;['cricket'];Le cricket es un sport que se joca con bat e bolla, in le qual se confronta duo equipas de dece-un jocatores cata uno.
activity;['baseball'];Baseball es un joco collective codificate in Statos Unite de America in Seculo 19.
activity;['tennis'];Tennis es un sport olympic.
activity;['battalia'];Un battalia es un combatto inter duo o plus fortias armate in un guerra.
activity;['aikido'];Aikido es un arte martial orientate al defensa, con un profunde base philosophic, in le qual le defensor redirige le movimientos e le energia del attaccos a mesme su opponente.
activity;['taekwondo'];Le taekwondo, tamben scribite Tae Kwon Do o Taekwon-Do, es un arte martial e sport de combatto con su origine in Corea.
activity;['coito'];Copula, union sexual o sexo vaginal, es principalmente le insertion e friction del penis, usualmente quando erecte, del masculo in le vagina del femina, sia pro placer sexual, reproduction o ambe.
activity;['radiodiffusion'];Radiodiffusion esse le transmission de signales de modulation de undas electromagnetic con frequentias sub illos del lumine visibile.
activity;['administration de interprisa', 'administration', 'direction', 'gerentia', 'gestion', 'organo administrative'];Le administration de interprisa es un campo de studios e activitates economic que ingloba tote le aspectos del gestion de un interprisa.
activity;['homeopathia'];Le Homeopathia es un forma de medicina alternative primo exponite per Samuel Hahnemann in 1796, le qual tracta un maladia con preparationes multo diluite create ab substantias que normalmente causarea effectos similar al symptomas del maladia.
activity;['spondeo'];Un spondeo es un pede de un verso grec o latin composte per duo syllabas longe, o un pede de poesia in linguas moderne como anglese composte per duo syllabas accentuate.
activity;['trocheo', 'antipasto'];Etymologia: Ab le latino trochaeus del greco trochaios, de trecho pro "currer"Un trocheo es un pede de poesia grec e latin de duo syllabas, un longe e le secunde curte, o un pede de poesia in linguas moderne como anglese composte per duo syllabas, uno accentuate e le secunde non-accentuate.
