abstract-quality;['самоличност', 'индивидуалност', 'лична', 'идентичност'];Качества, възможности, способности на човек, група лица за осъществяване на нещо.
activity;['kwanzaa', 'куанза'];Малка, подшита, неподвързана книга, посветена на актуални въпроси с временен характр (обикновено с полемично, агитационно или рекламно съдържание).
activity;['литургия', 'богослужение', 'богослужения', 'liturgist', 'богослужебни', 'литургии'];Помещение със стъклени стени и покрив,в което се отглеждат цветя, ранни зеленчуци и плодове,при подходящи и контролирани условия.
activity;['демобилизация', 'демобилизирани', 'demob', 'demobbed'];Малък процеп, пролука.
activity;['дарение', 'дари', 'дарения'];Това, което казва човек, когато го питат, обвиняват и т.н.
activity;['дарение', 'дари', 'дарения'];Дребно черно или червеникаво ципокрило насекомо, живеещо на големи колонии, в които има специализирана сложна дейност.
activity;['плетене'];Смес на основа на органични или неорганични вещества, която прикрепва, залепва трайно едно нещо към друго.
activity;['освобождение', 'избавяне', 'спасяване'];Педал на автомобил, мотоциклет и др., който контролира скоростта на движението им.
activity;['отчуждаем', 'отчуждение', 'юридическо прехвърляне'];Увеличаване на растежа или количеството на нещо.
agent-driven-role;['тре́ти'];Свойство на характера, способност на човек да се владее, да се сдържа, да има контрол над себе си.
agentive-figure;['голямата стъпка', 'bigfoot', 'саскуоч'];Усещането, което се чувства при натиск върху кожата на човек или животно.
agentive-figure;['дух', 'при́зрак', 'привиде́ние', 'призрак'];Напускам, зарязвам някого или нещо, оставям някого или нещо, който има нужда или разчита на мен, без внимание, без грижи.
agentive-figure;['дух', 'при́зрак', 'привиде́ние', 'призрак'];Отвеждам насилствено, против неговата воля някого или нещо, като крия местонахождението му, за да получа откуп или да постигна определени искания.
agentive-figure;['дух', 'при́зрак', 'привиде́ние', 'призрак'];Поемам, задържам в себе си.
agentive-figure;['дух', 'при́зрак', 'привиде́ние', 'призрак'];Придавам на нещо по-голямо, по-сериозно значение, представям нещо като по-голямо, по-силно, по-съществено, отколкото е.
agentive-figure;['дух', 'при́зрак', 'привиде́ние', 'призрак'];Изричам клетва, враждебно пожелание срещу някого или нещо, за да му се случи нещо лошо.
agentive-figure;['дух', 'при́зрак', 'привиде́ние', 'призрак'];Превивам се, огъвам се надолу.
agentive-physical-object;['плетачна машина'];Точно означена, обикновено във вид на правоъгълна рамка част от игрището, където противниковият отбор се стреми да вкара топката или шайбата при игра на футбол, хокей и др.
agentive-physical-object;['бергамот', 'citrus aurantium', 'bigarade', 'горчив портокал', 'горчив портокал дърво', 'кисел портокал', 'мармалад оранжево', 'севиля оранжево'];Силно душевно безпокойство пред действителна или въображаема опасност, очакване да се случи нещо лошо, опасно.
agentive-physical-object;['majorana hortensis', 'origanum majorana', 'навързани риган', 'сладък риган'];Храна, ястия, които се предлагат или поднасят.
agentive-physical-object;['kniphofia uvaria', 'покер завод'];Период от време, равен на сто години.
agentive-physical-object;['вратига', 'врати́га', 'врати́ка', 'chrysanthemum vulgare', 'tanacetum vulgare', 'паничка', 'tanacetum папрат', 'златни копчета'];Група от хора, които работят за оказване на влияние върху законодателите за вземане на едно или друго решение в полза на някого.
agentive-physical-object;['жълтоглаво кралче', 'regulus regulus', 'regulus регулус', 'златисто-гребенест царче'];Линия, с която се ограничава фигура или тяло.
agentive-physical-object;['paspalum distichum', 'пача трева'];Листче, върху което е записано кратко съобщение.
agentive-physical-object;['pinus attenuata', 'knobcone бор'];Близост до истината, до действителността, до житейската правда.
agentive-physical-object;['крил', 'euphausiacea', 'euphausiid'];Състояние на покой на едно тяло като резултат от действието на равни по големина, но действащи в противоположни посоки сили.
agentive-physical-object;['mugil liza', 'иларии', 'mugil лиза', 'лиза'];Сбор от научни знания, степен на научна подготовка, получена чрез системно обучение в определена област.
agentive-physical-object;['белуга', 'delphinapterus leucas', 'delphinapterus', 'белуги', 'белуга китове', 'бял кит', 'кит белуга'];Външна страна или повърхност на нещо.
